Delivery Date,Delivery Hour,Settlement Point,Settlement Point Price
01/06/2022,22,HB_NORTH,31.85
01/06/2022,22,HB_SOUTH,27.5
01/06/2022,22,HB_WEST,32.16
01/06/2022,23,HB_HOUSTON,30.32
01/06/2022,23,HB_NORTH,30.87
01/06/2022,23,HB_SOUTH,26.43
01/06/2022,23,HB_WEST,31.07
01/06/2022,24,HB_HOUSTON,30.51
01/06/2022,24,HB_NORTH,31.13
01/06/2022,24,HB_SOUTH,27.21
01/06/2022,24,HB_WEST,31.42
01/07/2022,1,HB_HOUSTON,29.54
01/07/2022,1,HB_NORTH,30.62
01/07/2022,1,HB_SOUTH,25.57
01/07/2022,1,HB_WEST,30.64
01/07/2022,2,HB_HOUSTON,28.96
01/07/2022,2,HB_NORTH,29.52
01/07/2022,2,HB_SOUTH,25.3
01/07/2022,2,HB_WEST,29.71
01/07/2022,3,HB_HOUSTON,28.74
01/07/2022,3,HB_NORTH,29.07
01/07/2022,3,HB_SOUTH,25.46
01/07/2022,3,HB_WEST,29.25
01/07/2022,4,HB_HOUSTON,29.25
01/07/2022,4,HB_NORTH,29.47
01/07/2022,4,HB_SOUTH,26.53
01/07/2022,4,HB_WEST,29.59
01/07/2022,5,HB_HOUSTON,32.14
01/07/2022,5,HB_NORTH,32.11
01/07/2022,5,HB_SOUTH,28.7
01/07/2022,5,HB_WEST,32.04
01/07/2022,6,HB_HOUSTON,35.31
01/07/2022,6,HB_NORTH,35.98
01/07/2022,6,HB_SOUTH,31.19
01/07/2022,6,HB_WEST,35.54
01/07/2022,7,HB_HOUSTON,77.68
01/07/2022,7,HB_NORTH,83.5
01/07/2022,7,HB_SOUTH,74.31
01/07/2022,7,HB_WEST,80.89
01/07/2022,8,HB_HOUSTON,64.91
01/07/2022,8,HB_NORTH,71.33
01/07/2022,8,HB_SOUTH,61.17
01/07/2022,8,HB_WEST,68.51
01/07/2022,9,HB_HOUSTON,41.46
01/07/2022,9,HB_NORTH,41.33
01/07/2022,9,HB_SOUTH,39.29
01/07/2022,9,HB_WEST,40.86
01/07/2022,10,HB_HOUSTON,30.54
01/07/2022,10,HB_NORTH,29.94
01/07/2022,10,HB_SOUTH,29.42
01/07/2022,10,HB_WEST,28.64
01/07/2022,11,HB_HOUSTON,27.38
01/07/2022,11,HB_NORTH,26.94
01/07/2022,11,HB_SOUTH,26.58
01/07/2022,11,HB_WEST,25.77
01/07/2022,12,HB_HOUSTON,27.46
01/07/2022,12,HB_NORTH,27.06
01/07/2022,12,HB_SOUTH,26.89
01/07/2022,12,HB_WEST,25.49
01/07/2022,13,HB_HOUSTON,25.16
01/07/2022,13,HB_NORTH,24.42
01/07/2022,13,HB_SOUTH,24.87
01/07/2022,13,HB_WEST,22.13
01/07/2022,14,HB_HOUSTON,25.12
01/07/2022,14,HB_NORTH,24.24
01/07/2022,14,HB_SOUTH,24.82
01/07/2022,14,HB_WEST,19.78
01/07/2022,15,HB_HOUSTON,22.32
01/07/2022,15,HB_NORTH,20.81
01/07/2022,15,HB_SOUTH,21.41
01/07/2022,15,HB_WEST,9.24
01/07/2022,16,HB_HOUSTON,21.88
01/07/2022,16,HB_NORTH,20
01/07/2022,16,HB_SOUTH,21.3
01/07/2022,16,HB_WEST,3.3
01/07/2022,17,HB_HOUSTON,23.97
01/07/2022,17,HB_NORTH,22.4
