Delivery Date,Delivery Hour,Delivery Interval,Settlement Point,Settlement Point Price
01/02/2022,1,1,HB_SOUTH,12.39
01/02/2022,1,2,HB_SOUTH,1.87
01/02/2022,1,3,HB_SOUTH,11.6
01/02/2022,1,4,HB_SOUTH,1.67
01/02/2022,1,1,HB_WEST,12.39
01/02/2022,1,2,HB_WEST,1.87
01/02/2022,1,3,HB_WEST,11.6
01/02/2022,1,4,HB_WEST,1.67
01/02/2022,2,1,HB_HOUSTON,9.3
01/02/2022,2,2,HB_HOUSTON,1.27
01/02/2022,2,3,HB_HOUSTON,16.01
01/02/2022,2,4,HB_HOUSTON,4.09
01/02/2022,2,1,HB_NORTH,9.58
01/02/2022,2,2,HB_NORTH,1.36
01/02/2022,2,3,HB_NORTH,17.18
01/02/2022,2,4,HB_NORTH,4.39
01/02/2022,2,1,HB_SOUTH,9.08
01/02/2022,2,2,HB_SOUTH,1.19
01/02/2022,2,3,HB_SOUTH,15.1
01/02/2022,2,4,HB_SOUTH,3.86
01/02/2022,2,1,HB_WEST,9.07
01/02/2022,2,2,HB_WEST,1.19
01/02/2022,2,3,HB_WEST,15.07
01/02/2022,2,4,HB_WEST,3.85
01/02/2022,3,1,HB_HOUSTON,2.06
01/02/2022,3,2,HB_HOUSTON,0.68
01/02/2022,3,3,HB_HOUSTON,12.3
01/02/2022,3,4,HB_HOUSTON,13.08
01/02/2022,3,1,HB_NORTH,2.21
01/02/2022,3,2,HB_NORTH,0.73
01/02/2022,3,3,HB_NORTH,13.2
01/02/2022,3,4,HB_NORTH,14.04
01/02/2022,3,1,HB_SOUTH,1.94
01/02/2022,3,2,HB_SOUTH,0.64
01/02/2022,3,3,HB_SOUTH,11.6
01/02/2022,3,4,HB_SOUTH,12.34
01/02/2022,3,1,HB_WEST,1.94
01/02/2022,3,2,HB_WEST,0.64
01/02/2022,3,3,HB_WEST,11.58
01/02/2022,3,4,HB_WEST,12.32
01/02/2022,4,1,HB_HOUSTON,18.93
01/02/2022,4,2,HB_HOUSTON,16.04
01/02/2022,4,3,HB_HOUSTON,3.45
01/02/2022,4,4,HB_HOUSTON,2.45
01/02/2022,4,1,HB_NORTH,20.31
01/02/2022,4,2,HB_NORTH,17.56
01/02/2022,4,3,HB_NORTH,4.61
